id,name,latitude,longitude,name_mm,road,township
818,Chauk Kwae,16.919091,96.162873,(၆) ကွေ့,Thudhamar Road,North Okkalapa
819,Chauk Kwae,16.91846,96.16299,(၆) ကွေ့,Thudhamar Road,North Okkalapa
820,Chauk Kwae,16.918907,96.163312,(၆) ကွေ့,Wai Bargi Road,North Okkalapa
821,Chauk Kwae,16.918676,96.162578,(၆) ကွေ့,Wai Bargi Road,North Okkalapa
822,Kar Gyi Gate,16.921713,96.171916,ကားကြီးဂိတ်,Wai Bargi Road,North Okkalapa
823,Kar Gyi Gate,16.921852,96.172613,ကားကြီးဂိတ်,Wai Bargi Road,North Okkalapa
824,Kar Gyi Gate,16.92179,96.171892,ကားကြီးဂိတ်,Wai Bargi Road,North Okkalapa
825,Kyaung Lan,16.920714,96.167502,ကျောင်းလမ်း,Wai Bargi Road,North Okkalapa
826,Kyaung Lan,16.920919,96.167799,ကျောင်းလမ်း,Wai Bargi Road,North Okkalapa
827,Hmaw Kyun,16.922991,96.176299,မော်ကျွန်း,Bagan Road,North Dagon
828,Hmaw Kyun,16.923073,96.176283,မော်ကျွန်း,Bagan Road,North Dagon
829,Mee Thet,16.928064,96.183717,မီးသတ်,Bagan Road,North Okkalapa
830,Mee Thet,16.928021,96.183518,မီးသတ်,Bagan Road,North Okkalapa
831,Min Htoo Kyaw,16.926635,96.182047,မင်းထူးကျော်,Bagan Road,North Dagon
833,Min Htoo Kyaw,16.926872,96.182244,မင်းထူးကျော်,Bagan Road,North Dagon
834,Sal Myaung,16.924398,96.179411,ဆည်မြောင်း,Bagan Road,North Dagon
835,Sal Myaung,16.924488,96.179371,ဆည်မြောင်း,Bagan Road,North Dagon
838,Say Yon Kwae,16.930083,96.186191,ဆေးရုံကွေ့,Bagan Road,North Dagon
839,Say Yon Kwae,16.93016,96.186101,ဆေးရုံကွေ့,Bagan Road,North Dagon
842,Eindar,16.906969,96.16621,က္ကန္ဒာ,Thudhamar Road,North Okkalapa
843,Eindar,16.90722,96.166135,က္ကန္ဒာ,Thudhamar Road,North Okkalapa
844,Gate Haung Kwae,16.914071,96.17312,ဂိတ်ဟောင်းကွေ.,Khaymarthi Road,North Okkalapa
846,Gate Haung Kwae,16.914128,96.173142,ဂိတ်ဟောင်းကွေ.,Khaymarthi Road,North Okkalapa
847,Kan Tharyar,16.91307,96.165969,ကန်သာယာ,Khaymarthi Road,North Okkalapa
848,Kan Tharyar,16.912555,96.165631,ကန်သာယာ,Thudhamar Road,North Okkalapa
849,Kan Tharyar,16.913261,96.165377,ကန်သာယာ,Thudhamar Road,North Okkalapa
850,Kan Tharyar,16.91322,96.165191,ကန်သာယာ,Thudhamar Road,North Okkalapa
851,Kyaung Lan,16.913998,96.169365,ကျောင်းလမ်း,Khaymarthi Road,North Okkalapa
852,Kyaung Lan,16.914037,96.169345,ကျောင်းလမ်း,Khaymarthi Road,North Okkalapa
853,Kyoe Tadar,16.908271,96.172323,ကြိုးတံတား,Karuna Road,North Okkalapa
854,Kyoe Tadar,16.908349,96.172353,ကြိုးတံတား,Karuna Road,North Okkalapa
855,Myittar,16.911767,96.172823,မေတ္တာ,Thu Nandar Road,North Okkalapa
856,Myittar,16.911973,96.172931,မေတ္တာ,Thu Nandar Road,North Okkalapa
857,Ou Zanar,16.910726,96.166001,ဥဇ္ဇနာ,Thudhamar Road,North Okkalapa
858,Ou Zanar,16.910967,96.165856,ဥဇ္ဇနာ,Thudhamar Road,North Okkalapa
859,Sabei,16.914137,96.170832,စံပယ်,Khaymarthi Road,North Okkalapa
860,Sabei,16.914213,96.170863,စံပယ်,Khaymarthi Road,North Okkalapa
861,Thandar,16.898929,96.162291,သန္တာ,Thudhamar Road,North Okkalapa
862,Thandar,16.899058,96.162163,သန္တာ,Thudhamar Road,North Okkalapa
863,Thu Nandar,16.904362,96.165708,သုနန္ဒာ,Thudhamar Road,North Okkalapa
864,Thu Nandar,16.903951,96.165427,သုနန္ဒာ,Thudhamar Road,North Okkalapa
865,Waziyar,16.901507,96.16437,ဝဇီယာ,Thudhamar Road,North Okkalapa
866,Waziyar,16.901323,96.164128,ဝဇီယာ,Thudhamar Road,North Okkalapa
867,Za-myin-zwe Zay,16.911714,96.161796,(ဈ) ဈေး,Khaymarthi Road,North Okkalapa
870,Duyar Lan,16.907541,96.181827,ဒူးယားလမ်း,Yarza Thingyan Road,North Dagon
871,Duyar Lan,16.907581,96.182259,ဒူးယားလမ်း,Yarza Thingyan Road,North Dagon
872,Dawei Gyaung,16.907723,96.176775,ထားဝယ်ချောင်,Yarza Thingyan Road,North Dagon
